"champion","matchduration","kills","deaths","assists","goldearned","killingsprees","physicaldamagedealttochampions","magicdamagedealttochampions","physicaldamagetaken","magicdamagetaken","truedamagedealttochampions","truedamagetaken","wardsplaced","wardskilled","minionskilled","neutralminionskilled"
"Aatrox",2003.22963011286,6.25096222845587,5.96255463500554,7.44732206928045,12028.0579294148,1.44464740035227,11200.9054732859,6811.34196620784,22150.9553134582,9459.47798290821,642.367669123883,1047.82438515233,7.3916759084089,0.933720399243264,130.230608650271,37.1643942853415
"Ahri",2033.8751507686,7.32306823722637,5.76371031898786,9.00780147304129,11862.6612133344,1.70459619678189,1418.21519490851,16260.920856109,9668.10630790156,9236.21131983473,6341.49119768009,635.881502296815,9.14761208201812,0.912733851720687,167.362832653271,6.38930376985655
"Akali",2007.73126344912,10.0226867506917,7.58432216415616,6.32991085152167,11862.8131570858,2.30771595450354,5929.78149400553,14162.1698739625,16478.605287427,10593.3332923455,577.228588994774,1034.59538887181,7.53784199200738,0.804611128189364,134.67832769751,10.9639717184138
"Alistar",2008.63893173019,1.61752856378458,5.58594315570804,14.5099776525762,8773.96446444871,0.27265430738724,1553.91676371534,5480.56570457335,17149.2931446917,10462.6670391237,165.639875987536,1294.04927449561,22.0990840703786,2.50095999496396,40.1833905133612,0.9315570803563
"Amumu",2048.8443486129,4.89948597501107,5.62508903990913,12.0270681323759,11754.0466087827,1.15416899293456,1377.32791713994,14838.1825462526,19650.0994936758,9794.7114529388,424.96268987159,1127.39416283234,8.18445218797528,1.77673603757965,47.8666615328341,68.8037464143388
"Anivia",2038.51336271568,6.83941297824456,5.06582895723931,8.62293698424606,11979.0872093023,1.54585521380345,986.761299699925,22131.3838147037,12596.5373218305,11406.8319111028,491.214600525131,865.07394036009,9.36759189797449,0.843445236309077,169.76701987997,9.94987809452363
"Annie",2019.09532645251,6.8174301287255,6.73099849240404,9.20535776411922,11082.9376087209,1.55716108083034,969.246816653137,19400.6610344428,9168.40552012061,8607.12797170358,627.883474428853,667.175727704975,12.4103096370173,1.22032935173374,118.913313232054,4.00658703467471
"Ashe",2041.50826041987,7.09992172867805,6.62245268778129,9.70451178262936,12315.3594890001,1.67258826489252,19165.6886618399,2736.62698124284,11266.0036060716,6970.68251195035,225.919478377547,594.372347860118,5.96222011013893,0.855547479942974,172.736644955693,8.73048108908954
"Azir",2011.51036630869,5.68407903702021,6.91706953051491,7.60251127478018,11448.828526005,1.32701729340385,1879.79137600986,20574.4601732585,10209.5751922391,9072.83838940982,187.842542422374,685.717919600273,8.20041530125564,0.961552188442945,175.802699458162,9.17948801142079
"Bard",2028.52001220955,2.47575260406731,5.90850471212179,14.4622076385974,9499.94826204739,0.494257697737418,2809.83566713724,8179.40440306765,10982.0707772139,8590.13659429967,315.470830630699,681.808157503148,22.0901598687474,2.97435995268801,20.2932198862986,0.839101072150788
"Blitzcrank",2017.27980550744,2.57106764336676,6.24209079497243,14.0371744553732,9452.65466448445,0.497417888865937,3240.68580871721,7307.86511051436,13457.1959226479,9537.0652519346,276.772090953872,793.960831360336,22.6173708547185,2.27569796450193,30.5489727170165,0.817750623679151
"Brand",2074.94947652965,6.95222260362138,6.91751051231443,9.82781258045139,11352.8961426242,1.62338024543036,1139.00626448125,25446.1825066506,9991.77456448983,8927.53492662834,611.536986183815,672.873873680597,13.5626877199005,1.34602677422123,113.359478245945,5.44125976143482
"Braum",2006.89224284452,1.67137709662694,5.83968998572303,15.2483513495139,8840.31189844896,0.281120402474675,1769.51873002923,6612.98730611967,14601.5719918806,10066.4689354428,142.271573283607,1002.34192865398,22.5748958363684,2.73013606829638,39.3188815399707,0.54679836446102
"Caitlyn",2044.74648910674,6.96385542168675,5.82245453461009,8.26990771366293,12568.6314402525,1.62718922494659,20744.8644334313,2556.36384240834,11105.826466984,6993.31436999122,314.206294123388,604.91004522139,5.74506848275189,0.992549857395378,192.343400605121,9.67825577738497
"Cassiopeia",2041.84049519132,7.37098424391242,7.10906486597094,7.35113566605279,11610.6337221199,1.72150603642316,969.38612645795,21683.0923879681,10550.9905872724,9784.56752608963,475.466339267444,767.9021894823,8.45805197462656,0.699918150194393,158.343769183548,8.3561489666462
"Cho'Gath",2054.45014056869,6.47653729315647,5.44085737466745,7.32647785807279,11912.2771939093,1.49142436649748,1705.54814241778,14158.2685333686,18496.415253118,11110.3914224797,3827.69331496821,1249.06828430725,8.61006811449273,0.63559689805468,172.540293213079,13.5857657691655
"Corki",2053.39596293557,7.60408056727716,5.58198111976334,8.4769652412233,12663.5673641624,1.75151172401792,11454.00778701,11947.1029712446,12866.3093922652,7970.41658328621,1383.80275808065,694.189541914995,6.20646452342628,1.00622090746944,192.250358898508,10.3509809892548
